Word,Count,Ratio
app,34,18.28
flutter,33,17.74
android,17,9.14
ios,16,8.60
mobile,15,8.06
development,13,6.99
develop,13,6.99
using,9,4.84
developer,8,4.30
apps,4,2.15
firebase,3,1.61
build,2,1.08
building,1,0.54
dating,1,0.54
chat,1,0.54
like,1,0.54
tinder,1,0.54
react,1,0.54
native,1,0.54
fix,1,0.54
bugs,1,0.54
web,1,0.54
iot,1,0.54
ble,1,0.54
esp,1,0.54
mqtt,1,0.54
design,1,0.54
builder,1,0.54
dart,1,0.54
microsoft,1,0.54
azure,1,0.54
